,name,addr,tel,etc
237,손두부촌 식당,청주시 상당구 영운천로 153번길 36,8368832,"두부전골, 청국장, 비지장, 순두부"
238,청산가든,청주시 상당구 영운천로 153번길 36,5374878,간장게장
239,곰가내,청주시 상당구 영운천로 153번길 36,5320767,청국장
240,송원,청주시 상당구 영운천로 153번길 36,5357701,버섯찌개
241,곤드레밥집,청주시 상당구 영운천로 153번길 36,5341080,곤드레밥정식
242,산골맛집,청주시 상당구 영운천로 153번길 36,5369509,영양돌솥밥정식
243,신궁전가든,청주시 상당구 영운천로 153번길 36,5372849,신궁전정식
244,한천마당,청주시 상당구 영운천로 153번길 36,5365000,화랑밥상
245,솔의향기,청주시 상당구 영운천로 153번길 36,5345236,황태두부찜
246,산마루가든,청주시 상당구 영운천로 153번길 36,5360629,불고기정식
247,은행나무집,청주시 상당구 영운천로 153번길 36,5345255,"김치찌개, 선지해장국, 유황오리진흥구이"
248,진천숯불고기,청주시 상당구 영운천로 153번길 36,5345492,"육개장, 갈비탕, 숯불고기, 고전솥밥, 냉면"
249,육미마을,청주시 상당구 영운천로 153번길 36,5366692,"제육쌈밥, 갈비탕, 불고기"
250,북촌곰탕,청주시 상당구 영운천로 153번길 36,5328200,"곰탕, 꼬리곰탕, 도가니탕"
251,태령산곤드레밥집,청주시 상당구 영운천로 153번길 36,5362232,곤드레밥
252,제중한식촌,청주시 상당구 영운천로 153번길 36,8369261,청국장
253,양평해장국,청주시 상당구 영운천로 153번길 36,8336891,해장국
254,일흥식당,청주시 상당구 영운천로 153번길 36,8367019,된장찌개
255,다래정,청주시 상당구 영운천로 153번길 36,8321246,자연산버섯전골
256,갱치,청주시 상당구 영운천로 153번길 36,8327850,한우곰탕
257,풍성묵은지등갈비찜,청주시 상당구 영운천로 153번길 36,8342589,묵은지등갈비찜
258,삼미순대,청주시 상당구 영운천로 153번길 36,8333289,"순대국밥, 순대전골, 순대볶음"
259,우천생고기,청주시 상당구 영운천로 153번길 36,8322472,"고추장주물럭, 자연산버섯찌개, 김치찌개"
260,대림 ,청주시 상당구 영운천로 153번길 36,8733652,순두부찌개
261,예원,청주시 상당구 영운천로 153번길 36,8738592,돼지왕갈비
262,이조갈비,청주시 상당구 영운천로 153번길 36,8777050,우렁쌈밥
263,김점철소머리국밥,청주시 상당구 영운천로 153번길 36,8821259,소머리국밥
264,음성만남의광장,청주시 상당구 영운천로 153번길 36,8734051,황태구이정식
265,코다리아저씨,청주시 상당구 영운천로 153번길 36,8733200,꼬다리찜
266,중원오리골,청주시 상당구 영운천로 153번길 36,8829252,"오리훈제영양솥밥, 오리보양탕, 오리백숙"
267,단고을약선요리,청주시 상당구 영운천로 153번길 36,4233443,뽕잎밥
268,성원마늘약선요리,청주시 상당구 영운천로 153번길 36,4218777,마늘약선정식
269,벌집식당,청주시 상당구 영운천로 153번길 36,4222872,곤드레솥밥
270,장다리식당,청주시 상당구 영운천로 153번길 36,4233960,마늘정식
271,전원회관,청주시 상당구 영운천로 153번길 36,4233131,마늘돌솥정식
272,고향집두부,청주시 상당구 영운천로 153번길 36,4210150,해물순두부
273,영상강가든,청주시 상당구 영운천로 153번길 36,4230573,"산채더덕정식, 민물매운탕, 올갱이해장국"
274,즐거운나의집돌솥밥,청주시 상당구 영운천로 153번길 36,2985285,돌솥정식
275,사또가든,청주시 상당구 영운천로 153번길 36,2127072,청국장
276,마중가는길,청주시 상당구 영운천로 153번길 36,2881259,가마솥밥한정식
277,오소담,청주시 상당구 영운천로 153번길 36,2217330,두부정식
278,김가네더덕밥,청주시 상당구 영운천로 153번길 36,2360789,더덕한정식
279,신항도복집,청주시 상당구 영운천로 153번길 36,2877192,복지리
280,활력추어탕,청주시 상당구 영운천로 153번길 36,2941020,추어탕
281,황소고집,청주시 상당구 영운천로 153번길 36,2115550,청국장돌솥밥정식
282,돌뫼마을,청주시 상당구 영운천로 153번길 36,2134204,우리콩손두부전골
283,이티성영토,청주시 상당구 영운천로 153번길 36,2960801,곤드레밥정식
284,산골추어탕,청주시 상당구 영운천로 153번길 36,2932929,마추어탕
285,상록회관식당,청주시 상당구 영운천로 153번길 36,2547810,한정식
286,호정한정식,청주시 상당구 영운천로 153번길 36,2974567,한정식
287,소연재,청주시 상당구 영운천로 153번길 36,2846888,한정식
288,두레,청주시 상당구 영운천로 153번길 36,2603456,시골밥상
289,사리원,청주시 상당구 영운천로 153번길 36,2398878,불고기
290,장호식당,청주시 상당구 영운천로 153번길 36,2140255,짜글이찌개
291,25시가든,청주시 상당구 영운천로 153번길 36,2120300,된장찌개
292,이석가마솥추어탕,청주시 상당구 영운천로 153번길 36,2125292,추어탕
293,장안수제숯불갈비,청주시 상당구 영운천로 153번길 36,2143607,집된장찌개
294,나경한정식,청주시 상당구 영운천로 153번길 36,2732900,한정식
295,곤드레가마솥추어탕,청주시 상당구 영운천로 153번길 36,2663292,추어탕
296,강촌설렁탕,청주시 상당구 영운천로 153번길 36,2720111,설렁탕
297,명동보리밥,청주시 상당구 영운천로 153번길 36,2363392,보리밥정식
298,소보양본가,청주시 상당구 영운천로 153번길 36,2188254,"해장국, 소보양탕, 소보양전골"
299,참나무골,청주시 상당구 영운천로 153번길 36,2145292,"점심특선, 오리회전구이"
300,명품순두부,청주시 상당구 영운천로 153번길 36,2567070,순두부찌개
301,방아다리추어탕,청주시 상당구 영운천로 153번길 36,2507707,"추어탕, 한방추어탕"
302,청주본가운천직영점,청주시 상당구 영운천로 153번길 36,2716080,갈비탕
303,청주추어탕강내점,청주시 상당구 영운천로 153번길 36,2339713,추어탕
304,이가네참부대찌개,청주시 상당구 영운천로 153번길 36,2880863,부대찌개
